-187,-204,-56
-187,-185,8
-187,-184,3
-187,-170,-20
-187,-160,3
-187,-65,-7
-187,-43,-6
-187,-34,8
-187,-33,8
-187,2,-5
-187,57,40
-187,58,40
-187,99,13
-187,104,-4
-187,105,-4
-187,145,12
-187,151,-6
-187,197,-5
-186,-204,66
-186,-185,4
-186,-184,4
-186,-170,-20
-186,-65,-18
-186,-43,4
-186,-34,14
-186,-33,14
-186,2,4
-186,57,8
-186,58,-4
-186,104,-4
-186,105,-15
-185,-204,2
-185,-185,4
-185,-184,4
-185,-161,2
-185,-103,62
-185,-102,3
-185,-66,-48
-185,-65,5
-185,-44,4
-185,-43,40
-185,-34,-6
-185,-33,14
-185,2,5
-185,48,-4
-185,58,40
-185,59,40
-185,105,-4
-185,106,-15
-185,142,-3
-185,143,-7
-185,198,500
-184,-219,2
-184,-205,16
-184,-186,3
-184,-185,4
-184,-123,-50
-184,-95,3
-184,-34,8
-184,-33,-6
-184,2,-5
-184,48,-7
-184,59,40
-184,60,40
-184,105,250
-184,106,-4
-184,141,-7
-184,142,-56
-184,199,-3
-183,-219,4
-183,-206,-56
-183,-205,-56
-183,-186,3
-183,-185,3
-183,-162,3
-183,-123,-50
-183,-94,-21
-183,-42,-10
-183,-34,8
-183,2,-6
-183,60,40
-183,61,40
-183,106,-4
-183,107,-4
-183,140,-4
-183,200,-13
-182,-220,3
-182,-206,4
-182,-205,-56
-182,-187,4
-182,-186,4
-182,-162,6
-182,-94,33
-182,-42,4
-182,-35,-6
-182,-34,-6
-182,2,8
-182,61,-4
-182,107,16
-182,108,-15
-182,139,33
-181,-206,4
-181,-187,13
-181,-186,-28
-181,-163,-53
-181,-94,-11
-181,-93,-9
-181,-35,-7
-181,-34,13
-181,2,11
-181,3,6
-181,35,-50
-181,61,40
-181,62,40
-181,108,-5
-181,109,-8
-181,155,-3
-181,201,-3
-180,-206,-56
-180,-187,24
-180,-163,5
-180,-138,6
-180,-126,-50
-180,-93,-8
-180,-34,-6
-180,-33,-13
-180,2,26
-180,3,-48
-180,36,-50
-180,47,-5
-180,62,-6
-180,63,-13
-180,109,-4
-180,110,-7
-180,155,-5
-180,156,83
-180,202,-6
-179,-223,4
-179,-206,-56
-179,-205,3
-179,-188,-143
-179,-139,8
-179,-138,11
-179,-127,-50
-179,-99,8
-179,-93,27
-179,-64,-8
-179,-34,20
-179,-32,-9
-179,2,-9
-179,3,25
-179,36,-50
-179,47,-167
-179,63,-28
-179,64,-46
-179,109,-5
-179,110,40
-179,156,-5
-179,157,-4
-178,-223,-1000
-178,-206,-56
-178,-205,3
-178,-164,-53
-178,-128,-50
-178,-127,-50
-178,-100,8
-178,-99,7
-178,-93,-36
-178,-64,12
-178,-34,16
-178,3,-48
-178,36,-50
-178,37,-50
-178,47,-48
-178,64,-13
-178,110,40
-178,111,40
-178,157,-6
-177,-223,3
-177,-206,4
-177,-128,-50
-177,-100,6
-177,-34,19
-177,3,7
-177,37,-91
-177,47,-48
-177,65,-9
-177,111,40
-177,112,40
-177,158,-3
-176,-223,4
-176,-165,-53
-176,-128,-18
-176,-100,8
-176,-35,-334
-176,-34,12
-176,3,-48
-176,37,-50
-176,46,-5
-176,47,-48
-176,65,-21
-176,66,40
-176,112,40
-176,113,-6
-176,158,-6
-176,159,-8
-175,-222,2
-175,-190,7
-175,-189,3
-175,-165,5
-175,-128,-50
-175,-35,6
-175,-34,5
-175,3,71
-175,37,-50
-175,46,-5
-175,66,-21
-175,67,-25
-175,113,-6
-175,114,-6
-175,159,-6
-175,160,-3
-174,-222,4
-174,-207,4
-174,-206,6
-174,-190,3
-174,-189,2
-174,-178,33
-174,-128,-50
-174,-35,16
-174,-34,5
-174,-33,-46
-174,3,45
-174,37,-50
-174,46,-35
-174,67,-46
-174,68,-24
-174,113,9
-174,114,9
-174,160,-8
-174,207,-6
-173,-207,100
-173,-206,2
-173,-190,3
-173,-189,2
-173,-178,4
-173,-128,333
-173,-35,16
-173,3,-48
-173,68,8
-173,114,-4
-173,161,40
-173,207,-15
-173,208,-15
-172,-207,-500
-172,-206,-500
-172,-190,4
-172,-178,-53
-172,-128,3
-172,-104,8
-172,-35,16
-172,-32,20
-172,28,6
-172,68,-20
-172,69,-46
-172,116,-10
-172,162,-4
-172,191,-6
-172,208,-6
-171,-207,2
-171,-191,-167
-171,-190,4
-171,-178,-53
-171,-167,6
-171,-128,-50
-171,-35,-6
-171,-32,-12
-171,5,-48
-171,69,-46
-171,70,6
-171,116,-4
-171,117,9
-171,141,-9
-171,162,-3
-171,163,17
-171,191,-4
-171,208,-4
-171,209,-3
-170,-208,90
-170,-207,2
-170,-191,2
-170,-178,-22
-170,-128,-50
-170,-103,-23
-170,-36,-9
-170,-35,-46
-170,5,23
-170,6,11
-170,70,8
-170,71,-4
-170,117,40
-170,163,-3
-170,164,-6
-170,209,-3
-170,210,-3
-169,-208,-500
-169,-207,2
-169,-191,2
-169,-178,-53
-169,-104,-11
-169,-36,50
-169,-35,50
-169,5,7
-169,6,-48
-169,71,8
-169,118,-5
-169,164,-8
-169,210,-3
-169,211,-3
-168,-208,2
-168,-207,-500
-168,-191,4
-168,-104,-12
-168,-73,5
-168,-36,-6
-168,-35,-46
-168,-29,-16
-168,5,5
-168,6,22
-168,72,40
-168,118,-5
-168,119,-46
-168,165,-8
-168,211,-6
-167,-208,2
-167,-207,2
-167,-191,4
-167,-190,2
-167,-99,5
-167,-29,25
-167,-28,7
-167,6,-48
-167,72,40
-167,73,-4
-167,119,40
-167,120,14
-167,165,-4
-167,166,-5
-167,212,-5
-166,-208,5
-166,-207,3
-166,-191,2
-166,-190,7
-166,-28,-46
-166,-17,-10
-166,73,40
-166,74,-46
-166,120,-15
-166,166,-15
-166,167,-15
-166,212,-4
-166,213,-7
-165,-207,2
-165,-191,2
-165,-172,7
-165,-98,4
-165,-28,12
-165,-27,12
-165,74,-4
-165,75,-4
-165,120,-4
-165,121,40
-165,213,-4
-165,214,-9
-164,-207,3
-164,-191,7
-164,-98,-48
-164,-28,-6
-164,-27,4
-164,74,8
-164,75,-9
-164,122,-3
-164,214,-3
-164,215,-3
-163,-207,6
-163,-191,7
-163,-190,2
-163,-28,-6
-163,-27,4
-163,75,8
-163,76,-46
-163,119,-3
-163,123,-14
-163,169,-5
-163,215,-3
-162,-208,-1000
-162,-207,3
-162,-190,2
-162,-179,21
-162,-112,3
-162,-36,7
-162,-28,-46
-162,76,-4
-162,77,-46
-162,119,-56
-162,216,-9
-161,-207,2
-161,-206,-56
-161,-179,3
-161,-175,5
-161,-112,4
-161,-36,-46
-161,77,8
-161,78,-46
-161,118,-6
-161,119,-3
-161,124,-6
-161,171,-46
-161,216,-4
-161,217,-3
-160,-206,3
-160,-205,-53
-160,-36,7
-160,78,-46
